IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.9983,0.9998,1.0,1.0,0.9996,1.0,0.9986,0.9986,0.666,0.7023,0.73,7.0
0.9951,0.9998,0.9412,0.9392,0.9996,1.0,0.9971,0.9971,0.667,0.7469,0.697,7.0
0.5785,0.9999,0.5882,0.5877,0.9998,1.0,0.997,0.997,0.667,1.0,0.9168,7.0
0.934,1.0,0.5118,0.5128,0.9999,1.0,0.5066,0.5066,0.9947,0.5664,0.6185,7.0
0.9969,0.9997,1.1088,1.1066,0.9995,1.0,1.0,1.0001,0.665,0.6913,0.7294,7.0
0.6723,0.9809,0.248,0.2486,0.9606,0.9984,0.2124,0.2138,1.0,0.2476,0.3025,8.0
0.7229,0.9839,0.2144,0.2156,0.9664,0.9869,0.2064,0.2054,0.9888,0.2299,0.2778,8.0
1.0,0.9981,0.0121,0.0123,0.9978,0.9843,0.0994,0.0987,0.9898,0.1347,0.1912,8.0
0.5396,0.9933,0.3467,0.352,0.9642,0.9904,0.7072,0.7062,0.975,0.3353,0.3816,8.0
0.7442,0.98,0.218,0.2184,0.9622,0.9916,0.1977,0.1977,0.9938,0.218,0.2694,8.0
0.6921,0.9867,0.1893,0.1908,0.9712,0.9932,0.2276,0.2279,0.9943,0.248,0.2982,8.0
0.9214,0.9901,0.0688,0.0696,0.9849,0.986,0.1067,0.1061,0.9913,0.1545,0.2077,8.0
0.7328,0.9803,0.2422,0.2427,0.9605,0.9874,0.1336,0.133,0.9917,0.2132,0.2653,8.0
0.2088,0.9785,1.0,1.0,0.8947,0.9946,0.8863,0.8889,0.973,1.0,1.0,8.0
0.4622,0.988,0.4136,0.4176,0.9534,0.992,0.7013,0.7015,0.9768,0.4016,0.451,8.0
0.9848,0.9974,0.0139,0.0142,0.9969,0.985,0.1853,0.184,0.9875,0.1463,0.1994,8.0
0.9033,0.9902,0.075,0.0759,0.9844,0.9929,0.2023,0.2025,0.9949,0.1637,0.2203,8.0
0.7673,0.9804,0.216,0.2164,0.9628,0.9919,0.1256,0.1256,0.9965,0.19,0.2518,8.0
0.451,0.9872,0.4302,0.434,0.9512,1.0,0.5586,0.5633,0.9896,0.4055,0.4677,8.0
0.9768,1.0,0.008,0.0082,1.0,0.991,0.1947,0.1946,0.9932,0.1481,0.2032,8.0
